nu,ella2
0.501689,-4.45161
0.536656,-4.93268
0.577449,-5.47788
0.615339,-6.15147
0.659049,-6.79291
0.705679,-7.56270
0.746479,-8.20417
0.796020,-8.97393
0.833915,-9.71169
0.874718,-10.4173
0.912608,-11.0909
0.962154,-11.9249
0.991308,-12.5664
1.03212,-13.4004
1.07293,-14.2024
1.10791,-14.9081
1.15163,-15.6458
1.17787,-16.3195
1.20993,-16.8968
1.23326,-17.4422
1.25369,-18.2763
1.29157,-18.7253
1.31783,-19.6236
1.35864,-20.4576
1.38198,-21.1955
1.40531,-21.7408
1.44322,-22.7674
1.47531,-23.7619
1.51322,-24.7885
1.53948,-25.6226
1.56282,-26.3926
1.58617,-27.2909
1.59784,-27.7080
